市区町,CSV局名,システム局名,CSV緯度,CSV経度,SYS緯度,SYS経度,Δ緯度,Δ経度,距離差(m),マッチ方法,判定
廿日市市,奴メリ谷,奴メリ谷,34.295833,132.204722,34.2958333333333,132.204722222222,0.0,0.0,0.0,完全一致(市+局名),正常
廿日市市,馬の口,馬の口,34.302222,132.235,34.3022222222222,132.235,0.0,0.0,0.0,完全一致(市+局名),正常
廿日市市,八坂,八坂,34.268333,132.246667,34.2683333333333,132.246666666667,0.0,-0.0,0.0,完全一致(市+局名),正常
廿日市市,矢草南,矢草南,34.327778,132.261667,34.3277777777778,132.261666666667,-0.0,-0.0,0.0,完全一致(市+局名),正常
廿日市市,矢草北,矢草北,34.334167,132.27,34.3341666666667,132.27,-0.0,0.0,0.0,完全一致(市+局名),正常
廿日市市,中山,中山,34.321111,132.287222,34.3211111111111,132.287222222222,0.0,0.0,0.0,完全一致(市+局名),正常
廿日市市,友和,友和,34.358611,132.226667,34.3586111111111,132.226666666667,0.0,-0.0,0.0,完全一致(市+局名),正常
廿日市市,玖島,玖島,34.391111,132.25,34.3911111111111,132.25,0.0,0.0,0.0,完全一致(市+局名),正常
廿日市市,原,原,34.37,132.305278,34.37,132.305277777778,0.0,-0.0,0.0,完全一致(市+局名),正常
廿日市市,地御前(国),地御前(国),34.3375,132.305278,34.3375,132.305277777778,0.0,-0.0,0.0,完全一致(市+局名),正常
廿日市市,宮島町,宮島町,34.296111,132.3125,34.2961111111111,132.3125,0.0,0.0,0.0,完全一致(市+局名),正常
廿日市市,廿日市支所,廿日市支所,34.357222,132.343056,34.3572222222222,132.343055555556,0.0,-0.0,0.0,完全一致(市+局名),正常
広島市中区,広島(気),広島(気),34.398333,132.461667,34.3983333333333,132.461666666667,0.0,-0.0,0.0,完全一致(市+局名),正常
広島市東区,牛田早稲田,牛田早稲田,34.418611,132.480833,34.4186111111111,132.480833333333,0.0,0.0,0.0,完全一致(市+局名),正常
広島市東区,中山新町,中山新町,34.420833,132.5,34.4208333333333,132.5,0.0,0.0,0.0,完全一致(市+局名),正常
広島市東区,温品(国),温品(国),34.4375,132.501667,34.4375,132.501666666667,0.0,-0.0,0.0,完全一致(市+局名),正常
広島市南区,西部建設,西部建設,34.381667,132.468333,34.3816666666667,132.468333333333,-0.0,0.0,0.0,完全一致(市+局名),正常
広島市南区,楠那,楠那,34.362778,132.486111,34.3627777777778,132.486111111111,-0.0,0.0,0.0,完全一致(市+局名),正常
広島市西区,井口台,井口台,34.379722,132.381111,34.3797222222222,132.381111111111,0.0,0.0,0.0,完全一致(市+局名),正常
広島市安佐南区,吉山(国),吉山(国),34.454722,132.331667,34.4547222222222,132.331666666667,0.0,-0.0,0.0,完全一致(市+局名),正常
広島市安佐南区,戸山(国),戸山(国),34.481667,132.355,34.4816666666667,132.355,-0.0,0.0,0.0,完全一致(市+局名),正常
広島市安佐南区,奥畑,奥畑,34.458611,132.375833,34.4586111111111,132.375833333333,0.0,0.0,0.0,完全一致(市+局名),正常
広島市安佐南区,相田(国),相田(国),34.461667,132.441111,34.4616666666667,132.441111111111,-0.0,0.0,0.0,完全一致(市+局名),正常
広島市安佐南区,高瀬(国),高瀬(国),34.480278,132.499722,34.4802777777778,132.499722222222,-0.0,0.0,0.0,完全一致(市+局名),正常
広島市安佐北区,宇賀,宇賀,34.5275,132.366389,34.5275,132.366388888889,0.0,-0.0,0.0,完全一致(市+局名),正常
広島市安佐北区,くすの木台(国),くすの木台(国),34.505278,132.386667,34.5052777777778,132.386666666667,-0.0,-0.0,0.0,完全一致(市+局名),正常
広島市安佐北区,沢田(国),沢田(国),34.5575,132.404444,34.5575,132.404444444444,0.0,0.0,0.0,完全一致(市+局名),正常
広島市安佐北区,小河内(国),小河内(国),34.557778,132.404444,34.5577777777778,132.404444444444,-0.0,0.0,0.0,完全一致(市+局名),正常
広島市安佐北区,久地,久地,34.504722,132.417778,34.5047222222222,132.417777777778,0.0,-0.0,0.0,完全一致(市+局名),正常
広島市安佐北区,小河内,小河内,34.573333,132.4325,34.5733333333333,132.4325,0.0,0.0,0.0,完全一致(市+局名),正常
広島市安佐北区,飯室(国),飯室(国),34.535278,132.433889,34.5352777777778,132.433888888889,-0.0,-0.0,0.0,完全一致(市+局名),正常
広島市安佐北区,日浦,日浦,34.509167,132.438889,34.5091666666667,132.438888888889,-0.0,-0.0,0.0,完全一致(市+局名),正常
広島市安佐北区,鈴張(国),鈴張(国),34.583611,132.469722,34.5836111111111,132.469722222222,0.0,0.0,0.0,完全一致(市+局名),正常
広島市安佐北区,片廻山,片廻山,34.604167,132.481667,34.6041666666667,132.481666666667,-0.0,-0.0,0.0,完全一致(市+局名),正常
広島市安佐北区,勝木,勝木,34.536667,132.4675,34.5366666666667,132.4675,-0.0,0.0,0.0,完全一致(市+局名),正常
広島市安佐北区,南原(国),南原(国),34.551667,132.514722,34.5516666666667,132.514722222222,-0.0,0.0,0.0,完全一致(市+局名),正常
広島市安佐北区,堂免橋,堂免橋,34.557222,132.516111,34.5572222222222,132.516111111111,0.0,0.0,0.0,完全一致(市+局名),正常
広島市安佐北区,上原,上原,34.511111,132.516667,34.5111111111111,132.516666666667,0.0,-0.0,0.0,完全一致(市+局名),正常
広島市安佐北区,大林(国),大林(国),34.561111,132.556667,34.5611111111111,132.556666666667,0.0,-0.0,0.0,完全一致(市+局名),正常
広島市安佐北区,安佐北区役所,安佐北区役所,34.518889,132.507778,34.5188888888889,132.507777777778,-0.0,-0.0,0.0,完全一致(市+局名),正常
広島市安佐北区,三入(気),三入(気),34.545,132.53,34.545,132.53,0.0,0.0,0.0,完全一致(市+局名),正常
広島市安佐北区,三入東,三入東,34.532222,132.537222,34.5322222222222,132.537222222222,0.0,0.0,0.0,完全一致(市+局名),正常
広島市安佐北区,狩留家,狩留家,34.467222,132.580833,34.4672222222222,132.580833333333,0.0,0.0,0.0,完全一致(市+局名),正常
広島市安佐北区,狩留家(国),狩留家(国),34.485833,132.581389,34.4858333333333,132.581388888889,0.0,-0.0,0.0,完全一致(市+局名),正常
広島市安佐北区,市川(国),市川(国),34.535,132.592222,34.535,132.592222222222,0.0,0.0,0.0,完全一致(市+局名),正常
広島市安佐北区,三田,三田,34.498333,132.606667,34.4983333333333,132.606666666667,0.0,-0.0,0.0,完全一致(市+局名),正常
広島市安佐北区,白木(三日市),白木(三日市),34.553611,132.655556,34.5536111111111,132.655555555556,0.0,-0.0,0.0,完全一致(市+局名),正常
広島市安佐北区,井原,井原,34.595833,132.669722,34.5958333333333,132.669722222222,0.0,0.0,0.0,完全一致(市+局名),正常
広島市安芸区,安芸区役所,安芸区役所,34.371659,132.525571,34.37165907,132.52557059,0.0,-0.0,0.0,完全一致(市+局名),正常
広島市安芸区,瀬野川,瀬野川,34.392222,132.547222,34.3922222222222,132.547222222222,0.0,0.0,0.0,完全一致(市+局名),正常
広島市安芸区,立石,立石,34.437778,132.587778,34.4377777777778,132.587777777778,-0.0,-0.0,0.0,完全一致(市+局名),正常
広島市安芸区,景浦,景浦,34.386111,132.596111,34.3861111111111,132.596111111111,0.0,0.0,0.0,完全一致(市+局名),正常
広島市安芸区,阿戸,阿戸,34.369444,132.6325,34.3694444444444,132.6325,0.0,0.0,0.0,完全一致(市+局名),正常
広島市安芸区,上瀬野,上瀬野,34.428333,132.632222,34.4283333333333,132.632222222222,0.0,0.0,0.0,完全一致(市+局名),正常
広島市佐伯区,大谷(国),大谷(国),34.428611,132.198056,34.4286111111111,132.198055555556,0.0,-0.0,0.0,完全一致(市+局名),正常
広島市佐伯区,赤土地(国),赤土地(国),34.4325,132.249722,34.4325,132.249722222222,0.0,0.0,0.0,完全一致(市+局名),正常
