ID,City,Name,Web_Lat,Web_Lon,Sys_Name,Sys_Dist,CSV_Name,CSV_Dist,Status
10148,庄原市,庄原ダム,34.9025,133.0744444,庄原ダム,0.0,庄原ダム,0.0,OK
10149,廿日市市,冠山,34.4666667,132.1158333,N/A,,N/A,,MISSING
10150,廿日市市,中村,34.4013889,132.2558333,N/A,,N/A,,MISSING
10151,廿日市市,渡ノ瀬ダム,34.3183333,132.2075,N/A,,N/A,,MISSING
10152,安芸太田町,田代,34.6194444,132.1644444,N/A,,N/A,,MISSING
10153,安芸太田町,横川,34.6005556,132.1586111,横川,842.4,横川,842.4,DIFF
10154,北広島町,王泊ダム,34.6983333,132.3133333,N/A,,N/A,,MISSING
10155,北広島町,八幡,34.7175,132.1730556,八幡(気),1019.6,八幡(気),1019.6,DIFF
10156,神石高原町,油木,34.7741667,133.2775,油木(気),1207.0,油木(気),1207.0,DIFF
10157,庄原市,新市,35.0330556,132.9083333,新市,707.5,新市,707.5,DIFF
10158,庄原市,小奴可,34.9977778,133.2441667,小奴可,3091.9,小奴可,3091.9,DIFF
10159,庄原市,畑,34.8808333,133.1927778,N/A,,N/A,,MISSING
10160,庄原市,河内,34.8691667,133.2952778,N/A,,N/A,,MISSING
10161,安芸太田町,立岩ダム,34.545,132.1608333,N/A,,N/A,,MISSING
10162,安芸太田町,柴木川ダム,34.5966667,132.2158333,N/A,,N/A,,MISSING
10163,北広島町,樽床ダム,34.6516667,132.1691667,N/A,,N/A,,MISSING
11001,北広島町,吉木,34.62675,132.4337777,吉木,0.0,吉木,0.0,OK
11002,北広島町,川戸,34.7325277,132.5166666,川戸,0.0,川戸,0.0,OK
11003,北広島町,大塚,34.7801944,132.4464166,大塚,0.0,大塚,0.0,OK
11004,北広島町,中原,34.6810277,132.4200555,中原,0.0,中原,0.0,OK
11005,北広島町,新都,34.6569166,132.5071666,新都,0.0,新都,0.0,OK
11006,安芸高田市,向原坂,34.6093055,132.7376944,向原坂,0.0,向原坂,0.0,OK
11007,安芸高田市,佐々部,34.7850555,132.7268611,佐々部,0.0,佐々部,0.0,OK
11008,安芸高田市,多治比,34.6810277,132.64725,多治比,0.0,多治比,0.0,OK
11009,安芸高田市,下甲立,34.7123333,132.7683611,下甲立,0.0,下甲立,0.0,OK
11010,安芸高田市,川根,34.8231944,132.6501666,川根,0.0,川根,0.0,OK
11011,安芸高田市,桑田,34.7580277,132.6093611,桑田,0.0,桑田,0.0,OK
11012,呉市,室尾,34.1,132.5405,室尾,0.0,室尾,0.0,OK
11013,呉市,尾曽郷,34.09325,132.4992777,尾曽郷,0.0,尾曽郷,0.0,OK
11014,呉市,宇和木,34.1291666,132.4988888,宇和木,0.0,宇和木,0.0,OK
11015,呉市,下蒲刈,34.1930833,132.6777222,下蒲刈,0.0,下蒲刈,0.0,OK
11016,呉市,仁方,34.2226666,132.6531666,仁方,0.0,仁方,0.0,OK
11017,呉市,田戸,34.1975833,132.7249444,田戸,0.0,田戸,0.0,OK
11018,呉市,波多見,34.1757777,132.5461388,波多見,0.0,波多見,0.0,OK
11019,呉市,蒲刈大浦,34.1778333,132.7491111,蒲刈大浦,0.0,蒲刈大浦,0.0,OK
11020,呉市,天応,34.2875555,132.5157777,天応,0.0,天応,0.0,OK
11021,呉市,田原,34.1865555,132.50725,田原,0.0,田原,0.0,OK
11022,広島市安佐北区,日浦,34.5091388,132.4389444,日浦,0.0,日浦,0.0,OK
11023,広島市西区,己斐,34.4065277,132.4255555,己斐,0.0,己斐,0.0,OK
11024,広島市中区,江波,34.3731111,132.4360833,江波,0.0,江波,0.0,OK
11025,広島市佐伯区,彩が丘,34.4104444,132.3439444,彩が丘,0.0,彩が丘,0.0,OK
11026,坂町,坂,34.3382777,132.5166944,坂,0.0,坂,0.0,OK
11027,広島市東区,中山新町,34.4208611,132.5,中山新町,0.0,中山新町,0.0,OK
11028,広島市南区,楠那,34.3627222,132.4861944,楠那,0.0,楠那,0.0,OK
11029,尾道市,外浦,34.3307222,133.1868333,外浦,0.0,外浦,0.0,OK
11030,三原市,吉田,34.5481944,133.0716666,吉田,0.0,吉田,0.0,OK
11031,三原市,須波,34.3525,133.1133333,須波,0.0,須波,0.0,OK
11032,三原市,西野,34.4057777,133.059,西野,0.0,西野,0.0,OK
11033,三原市,末光,34.3774444,133.0278888,末光,0.0,末光,0.0,OK
11034,尾道市,有井,34.3816111,133.1833333,有井,0.0,有井,0.0,OK
11035,尾道市,林,34.3049722,133.1054722,林,0.0,林,0.0,OK
11036,三次市,横谷,34.9233611,132.7560555,横谷,0.0,横谷,0.0,OK
11037,三次市,仁賀,34.7913055,132.9776666,仁賀,0.0,仁賀,0.0,OK
11038,三次市,青河,34.7614166,132.8196111,青河,0.0,青河,0.0,OK
11039,三次市,東入君,34.8771388,132.8581111,東入君,0.0,東入君,0.0,OK
11040,三次市,南畑敷,34.8067222,132.8751944,南畑敷,0.0,南畑敷,0.0,OK
11041,三次市,敷地,34.7473888,132.9655,敷地,0.0,敷地,0.0,OK
11042,三次市,櫃田,34.95,132.8269166,櫃田,0.0,櫃田,0.0,OK
11043,庄原市,永田,34.8940833,132.9268888,永田,0.0,永田,0.0,OK
11044,庄原市,竹地谷,34.9405,132.8787222,竹地谷,0.0,竹地谷,0.0,OK
11045,庄原市,西城中野,34.9460555,133.1199722,西城中野,0.0,西城中野,0.0,OK
11046,庄原市,戸郷川,34.85,133.0141666,戸郷川,0.0,戸郷川,0.0,OK
11047,庄原市,川北,34.9292222,133.0408055,川北,0.0,川北,0.0,OK
11048,庄原市,本村町,34.8765277,133.1206388,本村町,0.0,本村町,0.0,OK
11049,庄原市,高暮,35.0175833,132.8315555,高暮(国),0.0,高暮(国),0.0,OK
11050,庄原市,新市,35.0364722,132.9148888,新市,0.0,新市,0.0,OK
11051,庄原市,川東,34.9006111,133.2798055,川東,0.0,川東,0.0,OK
11052,世羅町,黒川,34.6435,132.8981388,黒川,0.0,黒川,0.0,OK
11053,神石高原町,下豊松,34.7750833,133.3404722,下豊松,0.0,下豊松,0.0,OK
11054,神石高原町,油木安田,34.7666666,133.2756944,油木安田,0.0,油木安田,0.0,OK
11055,庄原市,中領家,34.7943055,133.1066666,中領家,0.0,中領家,0.0,OK
11056,三次市,甲奴本郷,34.7009722,133.0883333,甲奴本郷,0.0,甲奴本郷,0.0,OK
11057,神石高原町,川南,34.6741111,133.2056944,川南,0.0,川南,0.0,OK
11058,世羅町,別迫,34.6256388,133.0698888,別迫,0.0,別迫,0.0,OK
11059,江田島市,秋月,34.2283055,132.49125,秋月,0.0,秋月,0.0,OK
11060,江田島市,中町,34.2210833,132.4386388,中町,0.0,中町,0.0,OK
11061,江田島市,高祖,34.2596111,132.4009166,高祖,0.0,高祖,0.0,OK
11062,大崎上島町,明石,34.2099722,132.8844166,明石,0.0,明石,0.0,OK
11063,大崎上島町,上組,34.2576388,132.9163055,上組,0.0,上組,0.0,OK
11064,呉市,川尻,34.241,132.6833333,川尻,0.0,川尻,0.0,OK
11065,呉市,大長,34.1858611,132.8549444,大長,0.0,大長,0.0,OK
11066,竹原市,小梨,34.3704722,132.9141944,小梨,481.9,小梨,481.9,DIFF
11067,竹原市,田万里,34.4086388,132.8391388,田万里(西堀坂),1099.8,田万里(西堀坂),1099.8,DIFF
11068,呉市,豊島,34.1746111,132.7965,豊島,0.0,豊島,0.0,OK
11069,東広島市,志和東,34.4880833,132.6769722,志和東,0.0,志和東,0.0,OK
11070,東広島市,吉原,34.6029166,132.8529722,吉原,0.0,吉原,0.0,OK
11071,東広島市,久芳,34.5358333,132.77875,久芳,0.0,久芳,0.0,OK
11072,東広島市,郷曽,34.3822777,132.7209444,郷曽,0.0,郷曽,0.0,OK
